position,num_vesicles,area_vesicles,area_percent
C03,0,0.0,0.0
C04,0,0.0,0.0
C05,0,0.0,0.0
C06,0,0.0,0.0
C07,0,0.0,0.0
C08,0,0.0,0.0
C09,0,0.0,0.0
C10,0,0.0,0.0
C11,0,0.0,0.0
C12,0,0.0,0.0
C13,0,0.0,0.0
C14,0,0.0,0.0
C15,0,0.0,0.0
C16,0,0.0,0.0
C17,0,0.0,0.0
C18,0,0.0,0.0
C19,0,0.0,0.0
C20,0,0.0,0.0
C21,0,0.0,0.0
C22,0,0.0,0.0
D03,0,0.0,0.0
D04,0,0.0,0.0
D05,0,0.0,0.0
D06,0,0.0,0.0
D07,0,0.0,0.0
D08,0,0.0,0.0
D09,0,0.0,0.0
D10,0,0.0,0.0
D11,0,0.0,0.0
D12,0,0.0,0.0
D13,0,0.0,0.0
D14,0,0.0,0.0
D15,3,1109.3749057988957,0.00105798235492595
D16,0,0.0,0.0
D17,2,1811.5208638762144,0.00172760092151275
D18,20,16027.227621370028,0.0152847553456974
D19,0,0.0,0.0
D20,0,0.0,0.0
D21,0,0.0,0.0
D22,0,0.0,0.0
E03,0,0.0,0.0
E04,0,0.0,0.0
E05,2,1094.845039776043,0.00104412559487915
E06,0,0.0,0.0
E07,0,0.0,0.0
E08,0,0.0,0.0
E09,12,14048.809647771857,0.0133979889371603
E10,0,0.0,0.0
E11,0,0.0,0.0
E12,0,0.0,0.0
E13,0,0.0,0.0
E14,0,0.0,0.0
E15,0,0.0,0.0
E16,0,0.0,0.0
E17,0,0.0,0.0
E18,0,0.0,0.0
E19,14,11998.527742222817,0.0114426877424457
E20,0,0.0,0.0
E21,25,24354.411648791473,0.02322617688063755
E22,0,0.0,0.0
F03,0,0.0,0.0
F04,0,0.0,0.0
F05,0,0.0,0.0
F06,0,0.0,0.0
F07,0,0.0,0.0
F08,0,0.0,0.0
F09,0,0.0,0.0
F10,0,0.0,0.0
F11,0,0.0,0.0
F12,0,0.0,0.0
F13,0,0.0,0.0
F14,0,113.49003461093127,0.0001082325311765
F15,0,0.0,0.0
F16,0,0.0,0.0
F17,0,0.0,0.0
F18,0,0.0,0.0
F19,0,0.0,0.0
F20,0,0.0,0.0
F21,0,0.0,0.0
F22,0,0.0,0.0
G03,0,0.0,0.0
G04,0,0.0,0.0
G05,0,0.0,0.0
G06,0,0.0,0.0
G07,0,0.0,0.0
G08,0,0.0,0.0
G09,0,0.0,0.0
G10,0,0.0,0.0
G11,0,0.0,0.0
G12,0,0.0,0.0
G13,0,0.0,0.0
G14,0,0.0,0.0
G15,0,0.0,0.0
G16,0,0.0,0.0
G17,0,0.0,0.0
G18,0,0.0,0.0
G19,0,0.0,0.0
G20,0,0.0,0.0
G21,0,0.0,0.0
G22,0,0.0,0.0
H03,0,0.0,0.0
H04,0,0.0,0.0
H05,2,1066.5707058937348,0.0010171610888421
H06,0,0.0,0.0
H07,0,0.0,0.0
H08,0,173.18029502913734,0.0001651575994769
H09,0,0.0,0.0
H10,0,0.0,0.0
H11,0,0.0,0.0
H12,0,0.0,0.0
H13,2,1079.5297755897927,0.0010295198207757
H14,0,0.0,0.0
H15,0,0.0,0.0
H16,0,0.0,0.0
H17,3,1172.2067588706916,0.00111790347945275
H18,1,801.498825747096,0.00076436884474475
H19,2,812.4944000346602,0.00077485504153695
H20,0,0.0,0.0
H21,0,0.0,0.0
H22,0,0.0,0.0
I03,0,0.0,0.0
I04,0,0.0,0.0
I05,0,0.0,0.0
I06,0,0.0,0.0
I07,0,0.0,0.0
I08,0,0.0,0.0
I09,0,0.0,0.0
I10,1,358.92696067263387,0.00034229942385920003
I11,0,0.0,0.0
I12,0,0.0,0.0
I13,0,0.0,0.0
I14,0,0.0,0.0
I15,0,0.0,0.0
I16,0,0.0,0.0
I17,0,0.0,0.0
I18,3,2679.7785335120934,0.0025556359610672498
I19,0,0.0,0.0
I20,0,0.0,0.0
I21,0,0.0,0.0
I22,0,0.0,0.0
J03,0,0.0,0.0
J04,0,0.0,0.0
J05,1,255.25440310417068,0.00024342956839005
J06,0,0.0,0.0
J07,0,0.0,0.0
J08,0,0.0,0.0
J09,0,0.0,0.0
J10,0,0.0,0.0
J11,0,0.0,0.0
J12,0,0.0,0.0
J13,0,0.0,0.0
J14,0,0.0,0.0
J15,0,0.0,0.0
J16,0,0.0,0.0
J17,1,286.67032964006864,0.00027339013065340003
J18,0,0.0,0.0
J19,0,141.7643684932394,0.00013519703721355
J20,0,0.0,0.0
J21,1,682.1183049106837,0.0006505187081438
J22,6,2118.218846682918,0.0020200909106091
K03,2,728.4567965511333,0.00069471053748235
K04,0,0.0,0.0
K05,0,0.0,0.0
K06,0,0.0,0.0
K07,0,0.0,0.0
K08,0,0.0,0.0
K09,0,0.0,0.0
K10,0,0.0,0.0
K11,0,0.0,0.0
K12,0,207.73781421862506,0.00019811421796665
K13,0,0.0,0.0
K14,2,851.7643082045327,0.00081230574436615
K15,0,0.0,0.0
K16,0,0.0,0.0
K17,0,0.0,0.0
K18,1,552.1349088684061,0.00052655688177905
K19,0,0.0,0.0
K20,0,0.0,0.0
K21,0,0.0,0.0
K22,10,4696.68101711674,0.004479104058377
L11,10,5790.347959647687,0.0055221061321713
L12,0,113.49003461093127,0.0001082325311765
L13,0,0.0,0.0
L14,0,0.0,0.0
L15,0,0.0,0.0
L16,0,173.18029502913734,0.0001651575994769
L17,0,0.0,0.0
L18,0,0.0,0.0
L19,0,0.0,0.0
L20,0,0.0,0.0
L21,0,0.0,0.0
L22,0,0.0,0.0
