sample #,plate,96 well,LC Data File,,,,,,
1,1,A1,1,,D-Alanine,,,,
2,1,B1,13,,L-Alanine,,,,
3,1,C1,25,,L-Proline,,,,
4,1,D1,37,,L-Histidine,,,,
5,1,E1,49,,L-Glutamic Acid,,,,
6,1,F1,61,,L-Cytosine,,,,
7,1,G1,73,,DL-Serine,,,,
8,1,H1,85,,L-Valine,,,,
9,1,A2,2,,"D-Alanine, L-Alanine",,,,
10,1,B2,14,,"D-Alanine, L-Proline",,,,
11,1,C2,26,,"D-Alanine, L-Histidine",,,,
12,1,D2,38,,"D-Alanine, L-Glutamic Acid",,,,
13,1,E2,50,,"D-Alanine, L-Cytosine",,,,
14,1,F2,62,,"D-Alanine, DL-Serine",,,,
15,1,G2,74,,"D-Alanine, L-Valine",,,,
16,1,H2,86,,"L-Alanine, L-Proline",,,,
17,1,A3,3,,"L-Alanine, L-Histidine",,,,
18,1,B3,15,,"L-Alanine, L-Glutamic Acid",,,,
19,1,C3,27,,"L-Alanine, L-Cytosine",,,,
20,1,D3,39,,"L-Alanine, DL-Serine",,,,
21,1,E3,51,,"L-Alanine, L-Valine",,,,
22,1,F3,63,,"L-Proline, L-Histidine",,,,
23,1,G3,75,,"L-Proline, L-Glutamic Acid",,,,
24,1,H3,87,,"L-Proline, L-Cytosine",,,,
25,1,A4,4,,"L-Proline, DL-Serine",,,,
26,1,B4,16,,"L-Proline, L-Valine",,,,
27,1,C4,28,,"L-Histidine, L-Glutamic Acid",,,,
28,1,D4,40,,"L-Histidine, L-Cytosine",,,,
29,1,E4,52,,"L-Histidine, DL-Serine",,,,
30,1,F4,64,,"L-Histidine, L-Valine",,,,
31,1,G4,76,,"L-Glutamic Acid, L-Cytosine",,,,
32,1,H4,88,,"L-Glutamic Acid, DL-Serine",,,,
33,1,A5,5,,"L-Glutamic Acid, L-Valine",,,,
34,1,B5,17,,"L-Cytosine, DL-Serine",,,,
35,1,C5,29,,"L-Cytosine, L-Valine",,,,
36,1,D5,41,,"DL-Serine, L-Valine",,,,
37,1,E5,53,,"D-Alanine, L-Alanine, L-Proline",,,,
38,1,F5,65,,"D-Alanine, L-Alanine, L-Histidine",,,,
39,1,G5,77,,"D-Alanine, L-Alanine, L-Glutamic Acid",,,,
40,1,H5,89,,"D-Alanine, L-Alanine, L-Cytosine",,,,
41,1,A6,6,,"D-Alanine, L-Alanine, DL-Serine",,,,
42,1,B6,18,,"D-Alanine, L-Alanine, L-Valine",,,,
43,1,C6,30,,"D-Alanine, L-Proline, L-Histidine",,,,
44,1,D6,42,,"D-Alanine, L-Proline, L-Glutamic Acid",,,,
45,1,E6,54,,"D-Alanine, L-Proline, L-Cytosine",,,,
46,1,F6,66,,"D-Alanine, L-Proline, DL-Serine",,,,
47,1,G6,78,,"D-Alanine, L-Proline, L-Valine",,,,
48,1,H6,90,,"D-Alanine, L-Histidine, L-Glutamic Acid",,,,
49,1,A7,7,,"D-Alanine, L-Histidine, L-Cytosine",,,,
50,1,B7,19,,"D-Alanine, L-Histidine, DL-Serine",,,,
51,1,C7,31,,"D-Alanine, L-Histidine, L-Valine",,,,
52,1,D7,43,,"D-Alanine, L-Glutamic Acid, L-Cytosine",,,,
53,1,E7,55,,"D-Alanine, L-Glutamic Acid, DL-Serine",,,,
54,1,F7,67,,"D-Alanine, L-Glutamic Acid, L-Valine",,,,
55,1,G7,79,,"D-Alanine, L-Cytosine, DL-Serine",,,,
56,1,H7,91,,"D-Alanine, L-Cytosine, L-Valine",,,,
57,1,A8,8,,"D-Alanine, DL-Serine, L-Valine",,,,
58,1,B8,20,,"L-Alanine, L-Proline, L-Histidine",,,,
59,1,C8,32,,"L-Alanine, L-Proline, L-Glutamic Acid",,,,
60,1,D8,44,,"L-Alanine, L-Proline, L-Cytosine",,,,
61,1,E8,56,,"L-Alanine, L-Proline, DL-Serine",,,,
62,1,F8,68,,"L-Alanine, L-Proline, L-Valine",,,,
63,1,G8,80,,"L-Alanine, L-Histidine, L-Glutamic Acid",,,,
64,1,H8,92,,"L-Alanine, L-Histidine, L-Cytosine",,,,
65,1,A9,9,,"L-Alanine, L-Histidine, DL-Serine",,,,
66,1,B9,21,,"L-Alanine, L-Histidine, L-Valine",,,,
67,1,C9,33,,"L-Alanine, L-Glutamic Acid, L-Cytosine",,,,
