LC File number (blanks=no data),,Contents of Sample,,,,
1,,D-Alanine,,,,
13,,L-Alanine,,,,
25,,L-Proline,,,,
37,,L-Histidine,,,,
49,,L-Glutamic Acid,,,,
61,,L-Cytosine,,,,
73,,DL-Serine,,,,
85,,L-Valine,,,,
2,,"D-Alanine, L-Alanine",,,,
14,,"D-Alanine, L-Proline",,,,
26,,"D-Alanine, L-Histidine",,,,
38,,"D-Alanine, L-Glutamic Acid",,,,
50,,"D-Alanine, L-Cytosine",,,,
62,,"D-Alanine, DL-Serine",,,,
74,,"D-Alanine, L-Valine",,,,
86,,"L-Alanine, L-Proline",,,,
3,,"L-Alanine, L-Histidine",,,,
15,,"L-Alanine, L-Glutamic Acid",,,,
27,,"L-Alanine, L-Cytosine",,,,
39,,"L-Alanine, DL-Serine",,,,
51,,"L-Alanine, L-Valine",,,,
63,,"L-Proline, L-Histidine",,,,
75,,"L-Proline, L-Glutamic Acid",,,,
87,,"L-Proline, L-Cytosine",,,,
4,,"L-Proline, DL-Serine",,,,
16,,"L-Proline, L-Valine",,,,
28,,"L-Histidine, L-Glutamic Acid",,,,
40,,"L-Histidine, L-Cytosine",,,,
52,,"L-Histidine, DL-Serine",,,,
64,,"L-Histidine, L-Valine",,,,
76,,"L-Glutamic Acid, L-Cytosine",,,,
88,,"L-Glutamic Acid, DL-Serine",,,,
5,,"L-Glutamic Acid, L-Valine",,,,
17,,"L-Cytosine, DL-Serine",,,,
29,,"L-Cytosine, L-Valine",,,,
41,,"DL-Serine, L-Valine",,,,
53,,"D-Alanine, L-Alanine, L-Proline",,,,
65,,"D-Alanine, L-Alanine, L-Histidine",,,,
77,,"D-Alanine, L-Alanine, L-Glutamic Acid",,,,
89,,"D-Alanine, L-Alanine, L-Cytosine",,,,
6,,"D-Alanine, L-Alanine, DL-Serine",,,,
18,,"D-Alanine, L-Alanine, L-Valine",,,,
30,,"D-Alanine, L-Proline, L-Histidine",,,,
42,,"D-Alanine, L-Proline, L-Glutamic Acid",,,,
54,,"D-Alanine, L-Proline, L-Cytosine",,,,
66,,"D-Alanine, L-Proline, DL-Serine",,,,
78,,"D-Alanine, L-Proline, L-Valine",,,,
90,,"D-Alanine, L-Histidine, L-Glutamic Acid",,,,
7,,"D-Alanine, L-Histidine, L-Cytosine",,,,
19,,"D-Alanine, L-Histidine, DL-Serine",,,,
31,,"D-Alanine, L-Histidine, L-Valine",,,,
43,,"D-Alanine, L-Glutamic Acid, L-Cytosine",,,,
55,,"D-Alanine, L-Glutamic Acid, DL-Serine",,,,
67,,"D-Alanine, L-Glutamic Acid, L-Valine",,,,
