Well_Combinations,,,,,
Plate,Well,384 well plate,384 well location,Sample #,Combination
1,A1,1,C03,1,D-Alanine
1,B1,1,C15,2,L-Alanine
1,C1,1,D07,3,L-Proline
1,D1,1,D19,4,L-Histidine
1,E1,1,E11,5,L-Glutamic Acid
1,F1,1,F03,6,L-Cytosine
1,G1,1,F15,7,DL-Serine
1,H1,1,G07,8,L-Valine
1,A2,1,C04,9,"D-Alanine, L-Alanine"
1,B2,1,C16,10,"D-Alanine, L-Proline"
1,C2,1,D08,11,"D-Alanine, L-Histidine"
1,D2,1,D20,12,"D-Alanine, L-Glutamic Acid"
1,E2,1,E12,13,"D-Alanine, L-Cytosine"
1,F2,1,F04,14,"D-Alanine, DL-Serine"
1,G2,1,F16,15,"D-Alanine, L-Valine"
1,H2,1,G08,16,"L-Alanine, L-Proline"
1,A3,1,C05,17,"L-Alanine, L-Histidine"
1,B3,1,C17,18,"L-Alanine, L-Glutamic Acid"
1,C3,1,D09,19,"L-Alanine, L-Cytosine"
1,D3,1,D21,20,"L-Alanine, DL-Serine"
1,E3,1,E13,21,"L-Alanine, L-Valine"
1,F3,1,F05,22,"L-Proline, L-Histidine"
1,G3,1,F17,23,"L-Proline, L-Glutamic Acid"
1,H3,1,G09,24,"L-Proline, L-Cytosine"
1,A4,1,C06,25,"L-Proline, DL-Serine"
1,B4,1,C18,26,"L-Proline, L-Valine"
1,C4,1,D10,27,"L-Histidine, L-Glutamic Acid"
1,D4,1,D22,28,"L-Histidine, L-Cytosine"
1,E4,1,E14,29,"L-Histidine, DL-Serine"
1,F4,1,F06,30,"L-Histidine, L-Valine"
1,G4,1,F18,31,"L-Glutamic Acid, L-Cytosine"
1,H4,1,G10,32,"L-Glutamic Acid, DL-Serine"
1,A5,1,C07,33,"L-Glutamic Acid, L-Valine"
1,B5,1,C19,34,"L-Cytosine, DL-Serine"
1,C5,1,D11,35,"L-Cytosine, L-Valine"
1,D5,1,E03,36,"DL-Serine, L-Valine"
1,E5,1,E15,37,"D-Alanine, L-Alanine, L-Proline"
1,F5,1,F07,38,"D-Alanine, L-Alanine, L-Histidine"
1,G5,1,F19,39,"D-Alanine, L-Alanine, L-Glutamic Acid"
1,H5,1,G11,40,"D-Alanine, L-Alanine, L-Cytosine"
1,A6,1,C08,41,"D-Alanine, L-Alanine, DL-Serine"
1,B6,1,C20,42,"D-Alanine, L-Alanine, L-Valine"
1,C6,1,D12,43,"D-Alanine, L-Proline, L-Histidine"
1,D6,1,E04,44,"D-Alanine, L-Proline, L-Glutamic Acid"
1,E6,1,E16,45,"D-Alanine, L-Proline, L-Cytosine"
1,F6,1,F08,46,"D-Alanine, L-Proline, DL-Serine"
1,G6,1,F20,47,"D-Alanine, L-Proline, L-Valine"
1,H6,1,G12,48,"D-Alanine, L-Histidine, L-Glutamic Acid"
1,A7,1,C09,49,"D-Alanine, L-Histidine, L-Cytosine"
1,B7,1,C21,50,"D-Alanine, L-Histidine, DL-Serine"
1,C7,1,D13,51,"D-Alanine, L-Histidine, L-Valine"
1,D7,1,E05,52,"D-Alanine, L-Glutamic Acid, L-Cytosine"
1,E7,1,E17,53,"D-Alanine, L-Glutamic Acid, DL-Serine"
1,F7,1,F09,54,"D-Alanine, L-Glutamic Acid, L-Valine"
1,G7,1,F21,55,"D-Alanine, L-Cytosine, DL-Serine"
1,H7,1,G13,56,"D-Alanine, L-Cytosine, L-Valine"
1,A8,1,C10,57,"D-Alanine, DL-Serine, L-Valine"
1,B8,1,C22,58,"L-Alanine, L-Proline, L-Histidine"
1,C8,1,D14,59,"L-Alanine, L-Proline, L-Glutamic Acid"
1,D8,1,E06,60,"L-Alanine, L-Proline, L-Cytosine"
1,E8,1,E18,61,"L-Alanine, L-Proline, DL-Serine"
1,F8,1,F10,62,"L-Alanine, L-Proline, L-Valine"
1,G8,1,F22,63,"L-Alanine, L-Histidine, L-Glutamic Acid"
1,H8,1,G14,64,"L-Alanine, L-Histidine, L-Cytosine"
1,A9,1,C11,65,"L-Alanine, L-Histidine, DL-Serine"
1,B9,1,D03,66,"L-Alanine, L-Histidine, L-Valine"
1,C9,1,D15,67,"L-Alanine, L-Glutamic Acid, L-Cytosine"
1,D9,1,E07,68,"L-Alanine, L-Glutamic Acid, DL-Serine"
1,E9,1,E19,69,"L-Alanine, L-Glutamic Acid, L-Valine"
1,F9,1,F11,70,"L-Alanine, L-Cytosine, DL-Serine"
1,G9,1,G03,71,"L-Alanine, L-Cytosine, L-Valine"
1,H9,1,G15,72,"L-Alanine, DL-Serine, L-Valine"
1,A10,1,C12,73,"L-Proline, L-Histidine, L-Glutamic Acid"
1,B10,1,D04,74,"L-Proline, L-Histidine, L-Cytosine"
1,C10,1,D16,75,"L-Proline, L-Histidine, DL-Serine"
1,D10,1,E08,76,"L-Proline, L-Histidine, L-Valine"
1,E10,1,E20,77,"L-Proline, L-Glutamic Acid, L-Cytosine"
1,F10,1,F12,78,"L-Proline, L-Glutamic Acid, DL-Serine"
1,G10,1,G04,79,"L-Proline, L-Glutamic Acid, L-Valine"
1,H10,1,G16,80,"L-Proline, L-Cytosine, DL-Serine"
1,A11,1,C13,81,"L-Proline, L-Cytosine, L-Valine"
1,B11,1,D05,82,"L-Proline, DL-Serine, L-Valine"
1,C11,1,D17,83,"L-Histidine, L-Glutamic Acid, L-Cytosine"
