D-Alanine,DL-Serine,L-Alanine,L-Cytosine,L-Glutamic Acid,L-Histidine,L-Proline,L-Valine,num_vesicles
1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0
0,0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,0
0,1,0,0,0,1,0,0,0
0,0,0,0,0,1,0,1,0
0,0,0,1,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,1,1
1,0,1,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0
1,0,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0
1,0,0,0,0,1,1,0,1
1,0,0,0,1,0,1,0,0
1,0,0,1,0,0,1,0,0
1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,1,1
1,0,0,0,1,1,0,0,0
1,0,0,1,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,0,0
1,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1,0
1,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0
1,1,0,0,0,0,0,1,1
0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,1,0,1
0,0,1,1,0,0,1,0,0
0,1,1,0,0,0,1,0,0
0,0,1,0,0,0,1,1,0
0,0,1,0,1,1,0,0,0
0,0,1,1,0,1,0,0,0
0,1,1,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0
0,0,1,1,1,0,0,0,0
0,1,1,0,1,0,0,0,0
0,0,1,0,1,0,0,1,0
0,1,1,1,0,0,0,0,0
0,0,1,1,0,0,0,1,0
0,1,1,0,0,0,0,1,1
0,0,0,0,1,1,1,0,0
0,0,0,1,0,1,1,0,0
0,1,0,0,0,1,1,0,0
0,0,0,0,0,1,1,1,0
0,0,0,1,1,0,1,0,0
0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1,0
0,1,0,1,0,0,1,0,0
0,0,0,1,0,0,1,1,0
0,1,0,0,0,0,1,1,0
0,0,0,1,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,0,0,0,1,1,0,1,0
0,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,1,0
0,1,0,0,0,1,0,1,0
0,1,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,0
0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0
1,0,1,0,0,1,1,0,0
1,0,1,0,1,0,1,0,0
1,0,1,1,0,0,1,0,0
1,1,1,0,0,0,1,0,0
1,0,1,0,0,0,1,1,0
1,0,1,0,1,1,0,0,0
1,0,1,1,0,1,0,0,0
1,1,1,0,0,1,0,0,0
1,0,1,0,0,1,0,1,0
1,0,1,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1
1,0,1,0,1,0,0,1,0
1,1,1,1,0,0,0,0,0
1,0,1,1,0,0,0,1,1
1,1,1,0,0,0,0,1,0
1,0,0,0,1,1,1,0,0
1,0,0,1,0,1,1,0,1
1,1,0,0,0,1,1,0,0
1,0,0,0,0,1,1,1,1
1,0,0,1,1,0,1,0,0
1,1,0,0,1,0,1,0,0
1,0,0,0,1,0,1,1,0
1,1,0,1,0,0,1,0,1
1,0,0,1,0,0,1,1,1
1,1,0,0,0,0,1,1,1
1,0,0,1,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,1,0
1,1,0,1,0,1,0,0,0
1,0,0,1,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,1,1,0,0,0,0
1,0,0,1,1,0,0,1,0
1,1,0,0,1,0,0,1,0
1,1,0,1,0,0,0,1,1
0,0,1,0,1,1,1,0,1
0,0,1,1,0,1,1,0,0
0,1,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0
